Time (s), Velocity (mm/s)
0.020196,-0.0,
0.040252,91.62101,
0.060294,206.3223,
0.080339,198.6014,
0.10039,168.0222,
0.120448,152.694,
0.14051,152.6484,
0.15992,157.7957,
0.17997,160.3928,
0.20002,160.3848,
0.220077,152.694,
0.240144,152.6179,
0.260206,160.2968,
0.280272,167.8881,
0.300341,152.6103,
0.320413,152.5875,
0.340488,160.1929,
0.360566,160.153,
0.379996,157.6169,
0.40007,160.2009,
0.420148,152.5418,
0.440224,152.5571,
0.460306,152.5038,
0.480395,167.7041,
0.500481,160.1051,
0.520571,152.4659,
0.540021,157.4466,
0.560114,160.0652,
0.58021,159.9935,
0.600307,160.0094,
0.620415,152.3065,
0.64052,167.5705,
0.659981,157.3737,
0.680088,152.3065,
0.700191,159.9696,
0.720301,159.9298,
0.740424,159.8026,
0.760581,159.5249,
0.780054,157.2767,
0.80017,159.8662,
0.8202909,159.8264,
0.840413,159.8185,
0.860537,152.1778,
0.88002,165.0642,
0.900142,159.8185,
0.920265,152.2005,
0.940398,167.3456,
0.960528,159.739,
0.980014,157.1797,
1.000143,152.1475,
